Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18
0.262773723,0.48,0.081495428,0.181981264,0.396956522,0.110530568,0.906976744,0.450666667,0.002797203,0.882466281,0.39826087,0.003285753,0.22788088,0.459130435,0.096364126,0.872454448,0.353913043,0.003204956
0.295298468,0.496888889,0.07175901,0.170381814,0.335652174,0.10123889,0.765051395,0.463111111,0.008606778,0.543624161,0.246521739,0.012819822,0.275510204,0.516521739,0.084136817,0.823802164,0.463478261,0.006140587
0.266253102,0.476888889,0.079532006,0.189142979,0.384782609,0.102181524,0.905357143,0.450666667,0.002850995,0.882037534,0.429130435,0.003555077,0.237341772,0.456521739,0.090869917,0.878021978,0.347391304,0.002989496
0.276882367,0.511555556,0.080849919,0.199007034,0.41826087,0.104282252,0.904962153,0.478222222,0.003039268,0.885869565,0.425217391,0.003393482,0.241873153,0.462608696,0.089819553,0.876106195,0.344347826,0.003016429
0.24073247,0.479111111,0.091447015,0.179832261,0.400869565,0.113250741,0.903139013,0.447555556,0.002904788,0.884652981,0.393478261,0.003178023,0.229053908,0.46,0.095906275,0.861959958,0.355652174,0.003528144
0.279642058,0.5,0.077945132,0.169564284,0.343478261,0.104201454,0.773906597,0.464,0.008203335,0.588842975,0.247826087,0.010719095,0.275214468,0.516086957,0.084190681,0.822494262,0.467391304,0.006248317
0.246726396,0.477333333,0.088192577,0.187092705,0.386956522,0.10414759,0.903776978,0.446666667,0.002877891,0.893813481,0.420869565,0.003097226,0.239327884,0.45826087,0.090223539,0.866449511,0.346956522,0.003312685
0.258411844,0.512,0.088918774,0.197914537,0.420869565,0.105655804,0.902210884,0.471555556,0.003093061,0.876838235,0.414782609,0.003608942,0.243428571,0.463043478,0.089146243,0.87037037,0.347391304,0.003204956
0.259152907,0.481333333,0.083270576,0.179726132,0.410869565,0.11615944,0.903863432,0.447111111,0.002877891,0.887878788,0.382173913,0.002989496,0.22788088,0.459130435,0.096364126,0.870212766,0.355652174,0.003285753
0.289582259,0.499111111,0.074098978,0.164549052,0.343478261,0.108025855,0.759594497,0.466222222,0.008929532,0.54206501,0.246521739,0.012900619,0.275510204,0.516521739,0.084136817,0.836734694,0.463478261,0.005601939
0.265713581,0.479111111,0.080123722,0.190856909,0.404782609,0.106302182,0.907706093,0.450222222,0.002770307,0.889799636,0.424782609,0.00325882,0.237341772,0.456521739,0.090869917,0.874727669,0.349130435,0.003097226
0.277473182,0.517333333,0.081522324,0.199,0.432608696,0.107864261,0.906197655,0.480888889,0.003012372,0.893829401,0.42826087,0.003151091,0.241873153,0.462608696,0.089819553,0.874583796,0.342608696,0.003043361
0.240452931,0.481333333,0.092011834,0.177236377,0.414347826,0.119148936,0.903516682,0.445333333,0.002877891,0.882292733,0.374782609,0.003097226,0.229053908,0.46,0.095906275,0.861959958,0.355652174,0.003528144
0.272199371,0.5,0.080903712,0.161394318,0.34826087,0.112092647,0.779201206,0.459555556,0.007880581,0.594080338,0.244347826,0.010342041,0.275214468,0.516086957,0.084190681,0.829623945,0.47,0.005978993
